Numéro,Artiste,Paroles
34,poopy,"Hiram-pitiavana hiraiko ho anao
Entiko hisaorana anao
Tsy nanary ahy tamin’ny sarotra
Fa naneho fitiavana

Hiram-pitiavana atolotro anao
Ka hanavaozako indray
Ny efa niainan’ny foko hatrizay
Dia ny mbola ho tia anao

     Fitantarana ny zava-manjo
     Fiantahantako ihany koa
     Ny amin’izao sy ny ho aviko
     Efa natokako ho anao

Hiram-pitiavana omeko anao
Anamafisako indray
Mandra-pikipy ny masoko roa
Ianao no Tompon’ny fo        --------"
35,poopy,"Raha ny tebitebiko
Ny amin’ny ho avin’ireo zanako
No nosedrainao koa tamin’ny andronao taloha
Dia rariny raha tiako ianao

Raha ny fifaliako
Ny amin’ny fitositosiny
No fahasambaranao koa tamin’ny andronao taloha
Dia rariny raha tiako ianao

REF:zao lehibe izao,miaina izay niainanao
       vao tena tsapa ilay fitiavanao
       ka tafatoetra ao am-poko ao
       fa rariny raha tiako(2)ianao

Raha toy ny jaliko
Rehefa marary izy indraindray
No fahorianao koa tamin’ny andronao taloha
Dia rariny raha tiako ianao

Raha ny fahatezerako
Rehefa misy ditraditra izay
No efa niainanao koa tamin’ny andronao taloha
Dia rariny raha tiako ianao

REF:zao lehibe izao,misedra izay niainanao.....

Raha toy ny fanahiako
Raha manotany tena aho indraindray
Ho tiany foana aho ve,rahatr’izay izy lehibe?
Dia matoky fa tiako ianao

REF:zao lehibe izao,misedra izay niainanao...        --------"
36,poopy,"Tsy atakalo ,tsy hiova
Ny andro anio zay iarahako aminao
Tsy hasanda vola , tsy hasanda harena , sarobidy

Zao rehetra izao , ka hanjakako anio
Dia tsy hanova zay efa raikitra 
Fa ianao , ianao ihany izay no anio

REF: Hanainga faingana aho hamonjy anao
     Ela niandrasana izao andro izao
     Ho any aminao anio no anton-diako
     Ho any aminao no faniriako

N’izan’iza handresy lahatra
Ka manao zay tsy hihaonako aminao
Dia ho lany , lany andro eo f’izaho tsy miova

Fa ianao , ianao ihany
No efa nomeko ny androko anio
Ka ho ahy tokana ihany ny hahita anao

Enga anie ianao ho toa ahy koa
Tsy misy hatakalonao ny andro anio
Izay mety ho sakana , tsy handresy lahatra
Fa sarobidy loatra ny anio , sarobidy ny anio        --------"
37,poopy,"Tonga izao ilay ora
Nandrasantsika ela izay 
Androtsika roa izay
Nanambatra ho iray
Ny aiko sy ny ainao

Ilay bitsiky ny foko
Nandrotsirotsy ahy taloha
Indro tonga hira
Nampifoha
Ny hamamintsika roa

Manomboka izao
Dia tsy ho irery intsony ianao
Fo sy saina iray no entitsika hamakivaky
Ny fiainana ety, ity fiainana ity

Ho foiko manontolo
Izay hahasoa sy hahasambatra anao
Mahazo mahatoky ahy ianao
F’izay mamy indrindra izao
No efa foiko ho anao

Ny androko rehetra
Foiko omena anao
Tsy hasiako fetra
Mba hanjakanao

Lazao izay sitrakao
Izay tianao ambarao
Omeko anao
Satria tiako ianao

Santaritsika izao
Ny hoavitsika feno fifaliana
Fiainana iriko hiankina
Amin’ny Ray tsitoha
Raha mbola misy 
Toetra iray tsy tianao
Vonona aho ny hiova
Raha mbola izay
No ahasambatra anao



Tsy ho lefitry ny foko
Raha izaho no hampalahelo anao
Satriko isan’andro
Tsiky no andravaka
Ny endrikao, ny endrikao

http://www.multimania.com/schmilblik/ANDAOHANDIHY.html        --------"
38,poopy,"(P)
Tonga izao ilay ora nandrasantsika ela izay
Androntsika roa izay nanambatra ho iray ny aiko sy ny ainao
Ilay bitsiky ny foko nandrotsirotsy ahy taloha
Indro tonga hira nampifoha ny mamintsika roa
(L)
Manomboka izao dia tsy ho irery intsony ianao
Fo sy saina iray no hoentintsika hamakivaky
(PL)
Ity fiainana ity, ity fiainana ity
(L)
Ho foiko manontolo zay mahasoa sy hahasambatra anao
(P)
Mahazo mahatoky ahy ianao f'izay mamy indrindra izao
No efa foiko ho anao

Ny androko rehetra foiko omeko anao
Tsy hasiako fetra mba hanjakanao

Lazao izay sitrakao izay tianao ambarao
Omeko anao satria tiako ianao

(P)
Santaritsika izao ny hoavitsika feno fifaliana
Fiainana iriko hiankina amin'ny Ray tsitoha
Raha mbola misy toetra iray tsy tianao
Vonona aho ny hiova raha mbola izay no ahasambatra anao

(L)
Tsy ho lefitry ny foko raha izaho no hampalahelo anao
Satriko isan'andro tsiky no handravaka
(PL)
Ny endrikao, ny endrikao
(L)
Omeko manontolo zay mahasoa sy hahasambatra anao
(P)
Mahazo mahatoky ahy ianao 
(PL)
F'izay mamy indrindra izao
No efa foiko ho anao

Ny androko rehetra
Foiko omeko anao
Tsy hasiako fetra
Mba hanjakanao

Lazao izay sitrakao
Izay tianao ambarao
Omeko anao
Satria tiako ianao        --------"
39,poopy,"So many times I hear
Your hearts belongs to me
Oh is it real or just a game
Each time you hold me tenderly
And when I speak should I believe
Each single word you say
And must I trust your lovings way
And should I hold on faithfully
Or turn around and give my heart away

So if I must I’ll keep on dreaming
That I’m always in your arms
Even though you’re not here with me
I will love though you’re gone
For without you there is no one
I would die for you
So tell me once more
That your love for me is true

And will you share with me
Your secret and your dreams
Is there a flame as strong as mine
Or is it not the way it seems
If you’re uncertain let me know
Before I give everything
But if tomorrow you still care
And I’m sure you’ll never be
If you are there I don’t need to dream


http://www.multimania.com/schmilblik/malagasyrainb.html        --------"
40,poopy,"Sendra nandalo anie aho tamin’izay
Nivezivezy fa tokana iray
Tampoka teo toa reko avy any aminao
Hazavana, hafanana, hatsarana

Sendra nandalo ianao tamin’izay
Nifanojo ny mason-tsika
Nientana iray ny fo sy fanahy
Toa tsaroako tsy afaka an-doha

    Tsy nisy nanam-po izaho sy ianao 
    Fa nifanojo dia aho eto izao
    Vonona hiaraka fa tia
    Ka ny faniriana ho doria

Tonga tsy nantsoina avy ao anatiko ao
Misy hery iray itiavako anao
Sitraky ny Ray fa ho antsika amin’izay
Ny hitambatra ho olona iray

Reko fa nanoina ilay antsonao
Ny bitsika manginan’ny foko
Tsy haiko nolavina fa hery iray
Izay nandresy ireo ahiahy 
         (1994)
   Auteurs: POOPY & RICKY
Compositeur: Ranarivelo Solofo        --------"
41,poopy,"Raha tsy ianao no nanao ny tsy nety
Aza avela handresy
Ny hadalana fanimbazimbana
Maika mitsangàna
Fa tsy ianao ilay tsy naninona indray
No hoe hitomany
Mijoroa banjino atreho ny hoavinao

Avelao izy sy ny hafokany
Hameno ny tany
Fa sitrano ny fonao hangina
Rehefa tsy tiana
Tsy ianao ilay tsy naninona indray
No hivarilavo
Hatsarao banjino atreho ny hoavinao

Tano mafy ao am-ponao fa
Izay manao ny marina
N’inon’inona manjo tsy mba resy
Fa mbola miarina

Fa ho anao izay miniana kosa
Iavian’ny loza
Mandiniha mitsara tena ihany
Fa mandry ny tany
Fa tsy tompon’ny farany akory ianao
Ka hizahozaho
Mbola hivaly handatsa anao ny nataonao

Tsy resy tsy akory izay manao ny marina
Na ino-manjo dia mbola miarina        --------"
42,poopy,"Hay moa ny amin’ny topi-maso aza misy lanjany
Raha tena tia
Hay moa ts’isy feo nefa miteny ireny rehetra ireny
Raha mifankatia
Tsy misy mahalala afa-tsy izy roa ihany
Izay ambarany
Ny hiaka sy ny tsafa manenika ny fon’ilay tia
Hay moa afaka manova ny haizina aza indray
Ny tsiky iray
Hay moa mahasitrana izay ratra ao am-po indraindray
Ny tsiky iray
Tsy misy mahalala afa-tsy izy roa ihany
Izay ambarany
Ny hiaka sy ny tsafa manenika ny fon’ilay tia
Hafa raha samy hafa
Ts’isy teny mba tafa
Fa toa lanitra hafa no ialofan’izy ireo
Izany no tena sambatra
Mifanojo fitiavana
Ka miandrandra ny lanitra
Mba hitoetra sy haharitra
Ilay fitia
Hay moa misy koa tsy miteny milaza tia
Rehefa tia
Hay moa fa ny doboky ny fony no efa ren’ny ary
Ankilany
Tsy misy mahare afa-tsy izy roa ihany 
Izay ambarany
Ny hiaka sy ny tafa manenika ny fon’’ilay fitia
Hafa raha samy hafa
Ts’isy teny mba tafa
Fa toa lanitra hafa no ialofan’izy ireo
Izany no tena sambatra
Mifanojo fitiavana
Ka miandrandra ny lanitra
Mba hitoetra sy haharitra
Ilay fitia
Ts’isy mahalala izay ambarany
Tsy mahalala izay ambarany
Ts’isy mahalala izy roa ihany
Izay ambarany        --------"
43,poopy,"Hay moa
Na ny topimaso aza
Misy lanjany
Raha tena tia

Hay moa
Ts’isy feo nefa
Miteny ireny rehetra ireny
Raha mifankatia

Tsy misy mahalala, afa-tsy
Izy roa ihany izay ambarany
Ny hita sy ny tsapa
Manenika ny fony ilay fitia

Hay moa
Afaka manova ny aizina
Hanazava indray
Ny tsiky iray

Hay moa
Mahasitrana izay ratra
Ao am-po indraindray
Ny tsiky iray

Tsy misy mahalala
Afa-tsy izy roa ihany, zay
Ambarany
Ny hita sy ny tsapa
Manenika ny fony ilay fitia

Hafa raha samy hafa
Ts’isy teny na tafa
Fa toa lanitra hafa
No ialofan’izy ireo
Zany no tena sambatra
Mifanojo fitiavana
Ka miandrandra ny lanitra
Mba hitoetra sy haharitra, ilay fitia

Hay moa
Mety koa na tsy miteny aza
Milaza tia, rehefa tia

Hay moa
Fa ny doboky ny fony
No efa ren\\’ny ary ankilany

Ts’nisy mahare afa-tsy izy roa ihany
’Zay ambarany
Ny hita sy ny tsapa
Manenika ny fony ilay fitia.

                  Auteur, Compositeur:
                        Poopy / Naivo        --------"
44,poopy,"Loza fa tsisy fetrany io hakamoanao io
Loza fa amboletra ny fivelomanao
Ny tontolo misy anao indray 
No omenao tsiny raha mahantra ianao io
Tena loza fa ny fisainanao no manambany anao

  Tsy heverinao akory ny hiezaka
  Efa masaka ao an-doha ny mitofezaka
  F’efa mety hoy ianao 
  Misolelaka isan’andro vaky izao
  K’inona indray!

Loza fa toa tsy tsapanao ny tsy fitiavana anao
Tena loza fa hay raha be hono ’ty mba mampihavana
Dia baikon’ny habadoana ka lasa boton’ny be basy ianao
Tena resin’ny hakamoana tsy mahababo intsony ny ratsy

  Tsy heverinao akory...

  Zatra loatra nomena
  Mamitaka ny tena
  Miandry ny ho toloram-potsiny

Loza fa mety aminao ny tondro molotra
Mahagaga fa tena zakanao ny tondro molotra
Ny hakamoanao io indrindra no anararaotiny amin’izany
Hanomanany anao indray, handadizanao @ tany

  Tsy heverinao akory...

  Zatra loatra nomena...

           Poopy (album: tahak’izay)        --------"
45,poopy,"Vao nahita anao nihelina nandalo aho
Dia efa babonao noho ny antony tsy fantatra
Tsy dia hoe noho ny endrikao
Raha vao jerena nanaitra ahy
Fa noho ireo fijerinao
Fitsikinao tsy mankalao

Vao nanomboka nahita anao, babo aho
Fa misy hatsarana lalim-paka anatinao
Izany angamba no lafatra
Na dia tsy misy ny tanteraka
Tena kanto ny hatsaranao
Misaora ilay Nahary ianao

     Manana anjara amin’ny fiainana aho
     Manana tombony
     Milamindamina manana anao
     Hiaraka
     Manana anjara amin’ny fiainana aho
     Manana tombony
     Milamindamina manana anao
     Hiray làlana

Ts’isy fitaka ny endrikao ivelany
Fa taratry ny ao am-ponao izay rehetra asehony
Tsy dia hoe manindrahindra sanatria
fa velon-kira fa ny kanto any aminao
Manerana ny fiainanao        --------"
46,poopy,"E ny any aminay e! E ny any aminay
Tsy mila tezitra ao e
Fa faly milalao e
Ny tsiky no làlana 
Ny tsinjaka tsy tana

Tsy misy miadiady ao
Fa tonga dia voasazy e
Ny tsiky no làlana ao
Ny tsinjaka tsy mihato e

Hilalao, hilalao, 
Tsy misy afa-tsy izay
Satry foana hitoetra ao e
Faly ianao, faly ianao
Izay no tadiavinay
Amin’izay tàmana ianao

Hilalao no hiantsoana anao
Ka ndao avia hilalao e

Ka ho hira sy mozika
Sy lalao ny fiainantsika.

Source: http://www.multimania.com/schmilblik/fitia.html        --------"
47,poopy,"Manina, mahatsiaro ireo ora niarahana
manina, mangingina fa tsy eo anilanao
Lasa ianao, izay vao tsapany ny tokony ho natao
Lasa ianao, tsy nahafantatra akory f’izy tia anao

Nenina tsy mba nanararaotra ny anilanao
Hanehoany amim-pomba rehetra f’izy tia anao
lasa ianao vao  tsaroany fa tena tsy misy lanjany
No azonao fa satria izy diso matin’ny avonavony

Nenina no nameno ny fony isa-minitra
Nenina, azon’inona hono no nila kisa
Lasa ianao izay vao fantany fa izay nolazainy anao 
Tsy mahafaritra ny haben’ny fitiavana anatiny ao
Tena tiany ianao

Lasa tsy hay izay mbola hiafarana
Lasa tsy hita sa izay no vita
Lasa tsy hay na mbola hiverina
Kaikerin’ny nenina
Sady manantena mbola hahita anao

Amin’izay ny ao am-pony hiantso anao isa-minitra
tsy nisy izay andro iray tsy hanehoany amin’ny sisa
Fa ianao no tiany mihoatra noho izay noheverinao
Lasa ianao
Izy miandry anao kanefa tsy hay
Fa lasa ianao        --------"
48,poopy,"Lasana nangingina, lasa tsy niteny anie
Satria mamendrofendro mafy ny alahelo
Nefa tsy maintsy mbola handeha
Lasana mba hitady ravinahitra any e!
Fa ny aty mijaly mafy ny mianjady
K’aleo aloha hikaroka

Mafy tokoa re ny ady
Sarotra koa ny mitady
Ny eto raha teo tsy mety, mihoa-pefy
Maro no tsy tan-dàlana
Ny olana koa miha-vàvana
Ka rahoviana hoy ianao
Isika no mba ho sambatra?

Mafy ny tsy hifankahita
Mba toy ny inona moa
Hiverina indray ny taloha
Hiara-hiriaria anaty tany milamindamina        --------"
49,poopy,"LAVITRA  AZY
   
     Raha mandeha mankany ka mahita an’azy
     Mba ilazao hono izy
     Fa malahelo an’azy izaho
     Aty an-tany lavitra aty
     Tsy mety mahita tory fa ny eritreriny mandindona
      Fa toa sarisary mitamberina no fahatsiarovana

      Mila ho lasa adala toa mamanala
      Reny fa tsy feno ny androm-piainany
      Verivery saina lava toa manirery izy
       Fa any andro iray mbola hifankahita
       Hamerina indray ilay fiarahantsika
       tsy hisy intsony ny alahelo sy ny tomany

       Inty misy sary an-kiray
       Mba omeo an’azy ho solotenany aty
       Mba jerijereo matetika ’lay izy
       Raha sendra misy maka fanahy
       Izy no hampatsiahy
       Fa alavitra any misy miandry anao
       Tsy mba manadino
        Izy mbola mino
        Fa tena tia anao
                                         compositeur:: RANARIVELO Solofo 
                                                               (1994)        --------"
50,poopy,"Tato ho ato
Asa lahy,fa niova ianao
Nangatsiaka,mampanahy ny fijerinao
Tsisy intsony ireo sagisangy izay fanaonao
Tsisy intsony ireo teny mamy
Izay fibitsikao ahy
Mbola tia aho ka tsy sahy manontany anao
Sanatria handratra ahy ny ho havalinao
Toa tsy ho tanty intsony indraindray ny fahanginanao
Tsy ho tanako indraindray ny taraina ao am-po

ref:Lazao ahy fa tsy misy izany
Fa diso fihevitra aho
Lazao ahy fa iniako na toa ka tsy marina aza

Mbola misy ho ahy ve ilay hafananao
Avereno ho ahy indray ilay fitiavanao
Toroy hevitra aho raha azo atao 
Mbola hambamboako anao
Ampianaro aho hahafoy anao
Raha tsy tianao intsony

Lazao ahy fa tsy misy izany
Fa diso fihevitra aho
Lazao ahy fa inoako na toa ka tsy marina
Lazao ahy,raha mbola misy azo hatao ny hijanonanao
Lazao ahy        --------"
51,poopy,"Heart like a stone
No emotion blind you
Out on your own
Like an island I swim to
Like the darknest night
I know there’ll come
A morning you will see
Beauty of the world will be

Heart like a stone
A silence surrounds you
Out there on your own
I know that you’ll come back to me
We’ll have our time
Together we will have a song to sing
To our love together will be

If you would let me in
We’d break through all the walls
That surround us
If you would speak to me
We’d build a love
That would keep us forever
Hum,mmm, no more pretending
This is a real love

You’ve distanced me you know
You’ll get back to me
Sometimes you don’t know when
I won’t despair
You know may have time to see
That the one who’s waiting is me



http://www.multimania.com/schmilblik/malagasyrainb.html        --------"
52,poopy,"Midodododo mivatravatra
Izato ianao
Mikarokaroka zavatra hafa
Zava-baovao
Fa tsy afa-po
Manalavitra ny tsotsotra
Izato ianao
Fa voageja voafehin’ny zotra
Napetrakao
Ka sahirana

Toa mahavariana
Ianao kiriana
Manahirana izay kinasa
Izay nohariana
Nafoy nariana
Miova làlana ny dianao

Aza ravana, aoka tsy simbana
Ny zavatra mety hahasoa

Enjikenjika lava no atao
Maika ianao
Sao tsy aharaka irony hafa
Manam-baovao
Dia maika ianao
Manalavitra ny tsotsotra
Ny fiainanao
Toa miverina raha ny zotra
Narahinao
Dia very ianao        --------"
53,poopy,"menao anay maimaim-poana
ny fanavotana ny fiainanay rehetra
nefa ts’isy zavatra hatao eny e!
afatsy tokana iray ihany
atolotray anao ny fonay
tsy mila asiana  fisalasalana akory
fa ianao ry tompo no handray eny e!
hanavao indray ny fanahinay

Ireo fahazarandratsy nay
dia efa sakana iray
ka manalavitra anay
tsy akaikinao Ray fa
mihatakona indray

Ny hambonay tafahotra koa
afo mandoro mahamay
raha izay ny fonay mitroatra
ka tsy afaka handray
izay sitrakao ry ray

Ny tenanay miady irery re
ka tsy itoerany fanahy
dia efa namany very
ho mandrakizay
satria tsy eo ry Ray

Ry fonay trotraky ny otanay
maizina kitroka ery
dia ilaina vonjy ry Ray
diovy hadio anio dia anio        --------"
54,poopy,"Ho mandra-paha-oviana ny molotray no tsy handainga aminao? mba ho sitrakao?
Ho mandra-paha-oviana ny masonay vao hibanjina anao?
Fa toa tsy menatra akory izahay,hafa no ambara, dia hafa no ataonay
Toa tsy matahotra intsony nefa tena manota aminao
Eny ry Ray ô!

Ho mandra-paha-oviana no hirehareha am-panahy izahay? Toa tsy menatra?
Ho mandra-paha-oviana ny toetranay vao ho dinihinay
Fa toy ny maty eritreritra,hafa no ambara dia hafa no ataonay
Dia tsy mihevitra akory f'efa tena manota aminao


Chorus:
Dia nanadino indrisy f'izay rehetra misy dia avy aminao
Mirehareha izay tsy izy ho tena mpanompo mahatoky anao


Mbola sahy mitanisa ny teninao sy ny didinao ts'isy tahotra
Dia sahy manantena ho ambininao sy ho arovanao
Tsy misy henatra intsony miteny ratsy ny anaranao
Satria ny loton'ny fony sahy milaza ho mpanomponao


Chorus:
Niseho ho marina loatra ka lasa notroatra sahy nandà anao
Mifoko ery hahamboatra ny marina ho azy no ho arahinao
Dia nanadino indrisy f'izay rehetra nisy dia avy aminao
Mirehareha izay tsy izy ho tena mpanompo mahatoky anao


Ho mandra-paha-oviana ny hambonay no handrendrika anay anatrehanao?
Ho mandra-paha-oviana no handàvanay ny hadisoanay?
Soa tsy lany ho laniana ny fitiavanao sy faharetanao tena tia anay
Soa, ary izany sisa no anantenanay ny famelànao.


Auteur: Poopy
Compositeur/arrangeur: Naivo        --------"
